id,first_name,received,administrator,guide_code,Country of Origin,Initial_guide_code,custom trip,trip_code,status,departure_date,duration,guide_confirmed_date,guide_availability confirmed,availability,guide_recommendation,main_activity,skill_level,destination_country,people_count,cancellation_reason,source,base_price_local_currency,price_currency,exchange_rate,payment_method
20366,Leigh,26/11/2018,,13,Kyrgyzstan,13,,125,1_cancelled,,7,26/11/2018,Affirmative,From 16-Jan-2019 to 30-Jan-2019," 
",Mountaineering,advanced,119,2,Pending - Form not filled,Organic,900,EUR,1,
20355,PHILIP,26/11/2018,,202,Ireland,261,Yes,#N/A,1_cancelled,,5,30/11/2018,Affirmative,From 01-Mar-2019 to 31-Mar-2019," 
",Ice Climbing,intermediate,108,2,Pending - Form not filled,Organic,2800,EUR,1,
20349,Tony,26/11/2018,,282,United States,282,,620,1_cancelled,,4,26/11/2018,Affirmative,From 19-Feb-2019 to 04-Mar-2019," 
",Splitboarding,intermediate,108,2,Pending - Form not filled,Organic,1400,EUR,1,
20343,Hannah,25/11/2018,,274,United Kingdom,400,,101,1_cancelled,,4,25/03/2018,None,From 02-Jan-2019 to 06-Jan-2019," 
",Rock Climbing,beginner,,1,Pending - Form not filled,Organic,to confirm,EUR,1,
20341,Colleen,25/11/2018,,233,United States,396,Yes,#N/A,1_cancelled,,1,30/11/2018,Affirmative,"From 18-Feb-2019 to 28-Feb-2019
From 01-Oct-2019 to 30-Nov-2019"," 
",Ice Climbing,beginner,232,1,Pending - Form not filled,Organic,245,USD,0.879,
20340,Dina,25/11/2018,,126,United States,375,,714,1_cancelled,,1,26/11/2018,Affirmative,From 03-Jul-2019 to 03-Jul-2019," 
",Ice Climbing,beginner,212,2,Pending - Form not filled,Organic,650,CHF,0.8788,
20468,Seth,29/11/2018,,240,United Kingdom,240,,154,2_sold,1/12/2018,1,30/11/2018,Affirmative,From 30-Nov-2018 to 01-Dec-2018," 
",Rock Climbing,intermediate,10,2,#NA,Unknown,220,USD,0.879,Credit card
20337,,25/11/2018,,347,Netherlands,347,,204,1_cancelled,,1,27/11/2018,Affirmative,"From 01-May-2019 to 31-May-2019
From 01-Jun-2019 to 30-Jun-2019"," 
",Mountaineering,intermediate,212,1,Pending - Form not filled,Organic,670,CHF,0.8788,
20336,Brendan,25/11/2018,,26,Ireland,11,Yes,#N/A,1_cancelled,,4,4/12/2018,Affirmative,From 27-Jun-2019 to 11-Jul-2019," 
",Mountaineering,beginner,63,5,Pending - Form not filled,Organic,2100,USD,0.879,
20335,,25/11/2018,,244,Denmark,261,Yes,#N/A,1_cancelled,,2,30/11/2018,Negative,"From 21-Dec-2018 to 26-Dec-2018
From 25-Dec-2018 to 28-Dec-2018"," 
",Ice Climbing,beginner,166,1,Pending - Form not filled,Organic,to confirm,NOK,0.1038,
20333,Tyler,25/11/2018,,106,Norway,106,,657,1_cancelled,,1,25/11/2018,Affirmative,From 03-Mar-2019 to 08-Mar-2019," 
",Heliskiing,advanced,14,5,Pending - Form not filled,Unknown,400,EUR,1,
20332,Hussain,25/11/2018,,13,Oman,411,Yes,#N/A,1_cancelled,,5,30/11/2018,Affirmative,From 11-Jan-2019 to 15-Jan-2019," 
",Ice Climbing,beginner,119,2,Pending - Form not filled,Referral,700,EUR,1,
20326,marc,25/11/2018,,275,France,275,,388,1_cancelled,,3,28/11/2018,Affirmative,From 29-Mar-2019 to 01-Apr-2019," 
",Heliskiing,advanced,74,5,Pending - Form not filled,Organic,1200,EUR,1,
20325,marc,25/11/2018,,275,France,275,,388,1_cancelled,,3,25/03/2018,None,From 29-Mar-2019 to 01-Apr-2019," 
",Heliskiing,advanced,74,6,Pending - Form not filled,Organic,to confirm,EUR,1,
20384,,27/11/2018,,41,Canada,41,,76,2_sold,12/12/2018,3,30/11/2018,Affirmative,From 11-Dec-2018 to 14-Dec-2018," 
",Rock Climbing,intermediate,44,1,#NA,Referral,900,USD,0.879,Credit card
20322,Michael,25/11/2018,,174,United States,174,Yes,221,1_cancelled,,7,26/11/2018,Affirmative,From 03-Aug-2019 to 11-Aug-2019," 
",Hiking,,74,5,Pending - Form not filled,Organic,5750,EUR,1,
20318,Paul,25/11/2018,,101,United Kingdom,101,,167,1_cancelled,,10,25/11/2018,Affirmative,From 15-Jul-2019 to 27-Jul-2019," 
",Mountaineering,intermediate,63,2,Pending - Form not filled,Organic,6200,USD,0.879,
20308,Drew,24/11/2018,,237,United States,345,Yes,#N/A,1_cancelled,,1,1/12/2018,Affirmative,From 31-Dec-2018 to 04-Jan-2019," 
",Heliskiing,advanced,110,1,Pending - Form not filled,Organic,40000,JPY,0.0077,
